<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,D,19/11/17,000000,69.6010000,69.9894000,69.4533000,69.6744000,307
EURRUB,D,20/11/17,000000,69.4562000,70.1970000,69.2170000,69.5930000,107549
EURRUB,D,21/11/17,000000,69.5930000,69.9170000,69.2670000,69.4600000,110534
EURRUB,D,22/11/17,000000,69.4760000,69.5490000,68.8444000,69.0620000,81760
EURRUB,D,23/11/17,000000,69.0620000,69.3220000,68.8249000,69.2600000,87415
EURRUB,D,24/11/17,000000,69.2660000,69.7140000,69.1030000,69.6300000,101498
EURRUB,D,25/11/17,000000,69.6560000,69.8718000,69.5480000,69.7120000,203
EURRUB,D,26/11/17,000000,69.5950000,69.7410000,69.5140000,69.6559000,174
EURRUB,D,27/11/17,000000,69.7590000,69.7590000,69.2050000,69.5116000,104489
EURRUB,D,28/11/17,000000,69.5840000,69.7130000,68.9870000,69.1220000,111767
EURRUB,D,29/11/17,000000,69.1250000,69.6350000,68.9176000,69.5300000,119004
EURRUB,D,30/11/17,000000,69.5300000,69.7640000,69.0307000,69.5500000,147237
EURRUB,D,01/12/17,000000,69.5680000,70.5170000,69.3364000,70.0070000,146744
EURRUB,D,02/12/17,000000,70.0070000,70.1120000,69.6574000,70.0640000,1781
EURRUB,D,03/12/17,000000,70.0300000,70.2627000,69.8151000,69.8386000,287
EURRUB,D,04/12/17,000000,69.8481000,69.9810000,69.3980000,69.7280000,128593
EURRUB,D,05/12/17,000000,69.7240000,69.8290000,69.1845000,69.4290000,104634
EURRUB,D,06/12/17,000000,69.4290000,69.9500000,69.3250000,69.8370000,116866
EURRUB,D,07/12/17,000000,69.8560000,69.9900000,69.5500000,69.6380000,122141
EURRUB,D,08/12/17,000000,69.6380000,69.8000000,69.3997000,69.5410000,114238
EURRUB,D,09/12/17,000000,69.5410000,69.6020000,69.4070000,69.5720000,975
EURRUB,D,10/12/17,000000,69.6950000,69.6950000,69.5180000,69.5290000,7
EURRUB,D,11/12/17,000000,69.5530000,69.9550000,68.7930000,69.3318000,94255
EURRUB,D,12/12/17,000000,69.4030000,69.6040000,69.1200000,69.5340000,79705
EURRUB,D,13/12/17,000000,69.5480000,69.6870000,68.8670000,69.2320000,72210
EURRUB,D,14/12/17,000000,69.2940000,69.6210000,69.0370000,69.3510000,86700
EURRUB,D,15/12/17,000000,69.3820000,69.6660000,69.0140000,69.1400000,79448
EURRUB,D,16/12/17,000000,69.1530000,69.1610000,68.9725000,69.1160000,319
EURRUB,D,17/12/17,000000,69.1150000,69.1190000,68.9657000,68.9687000,10
EURRUB,D,18/12/17,000000,69.1080000,69.3400000,68.7439000,69.0970000,76595
EURRUB,D,19/12/17,000000,69.0960000,69.6750000,69.0110000,69.5740000,78632
EURRUB,D,20/12/17,000000,69.5740000,69.8140000,69.3215000,69.6880000,59057
EURRUB,D,21/12/17,000000,69.7130000,69.7660000,69.1890000,69.3830000,64254
EURRUB,D,22/12/17,000000,69.4140000,69.4391000,68.8696000,69.1037000,40019
EURRUB,D,23/12/17,000000,69.1660000,69.2090000,68.9630000,69.1910000,255
EURRUB,D,24/12/17,000000,69.1360000,69.1360000,69.1360000,69.1360000,1
EURRUB,D,25/12/17,000000,69.0199000,69.2500000,68.5047000,68.8220000,1294
EURRUB,D,26/12/17,000000,68.8050000,69.2643000,68.2712000,68.2837000,31339
EURRUB,D,27/12/17,000000,68.3470000,68.9060000,68.0350000,68.7454000,67598
EURRUB,D,28/12/17,000000,68.8130000,68.8560000,68.3270000,68.5840000,38807
EURRUB,D,29/12/17,000000,68.6190000,69.4570000,68.4858000,69.2920000,74461
EURRUB,D,30/12/17,000000,69.1813000,69.3360000,68.8565000,69.1890000,228
EURRUB,D,31/12/17,000000,69.2100000,69.2100000,69.2100000,69.2100000,1
EURRUB,D,01/01/18,000000,69.1930000,69.6150000,69.1730000,69.2260000,235
EURRUB,D,02/01/18,000000,69.5490000,69.6240000,68.8251000,69.1640000,52915
EURRUB,D,03/01/18,000000,69.2520000,69.6890000,68.5910000,68.6450000,73549
EURRUB,D,04/01/18,000000,68.7430000,69.0192000,68.4150000,68.6360000,70948
EURRUB,D,05/01/18,000000,68.7000000,68.8480000,68.3980000,68.5630000,73605
EURRUB,D,06/01/18,000000,68.4760000,68.5676000,67.8916000,68.5070000,210
EURRUB,D,07/01/18,000000,68.6090000,68.6090000,68.4430000,68.4620000,13
EURRUB,D,08/01/18,000000,68.4000000,68.6700000,68.2090000,68.3465000,52292
EURRUB,D,09/01/18,000000,68.3440000,68.3910000,67.7100000,67.9590000,74909
EURRUB,D,10/01/18,000000,67.9716000,68.4860000,67.6750000,68.1390000,83714
EURRUB,D,11/01/18,000000,68.1550000,68.5010000,67.7630000,67.8750000,84729
EURRUB,D,12/01/18,000000,67.9040000,69.0330000,67.7710000,69.0130000,48858
EURRUB,D,13/01/18,000000,69.0420000,69.1799000,68.9220000,69.1260000,442
EURRUB,D,14/01/18,000000,68.7850000,69.0170000,68.7850000,68.9880000,7
EURRUB,D,15/01/18,000000,69.0960000,69.4580000,68.6270000,69.1509000,72952
EURRUB,D,16/01/18,000000,69.1790000,69.3900000,68.7930000,69.3668000,87366
EURRUB,D,17/01/18,000000,69.3920000,69.5949000,68.9950000,69.3406000,91547
