<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,26/12/17,000000,57.9710000,58.3960000,57.5106000,57.5978000,110170
USDRUB,D,27/12/17,000000,57.6285000,57.9377000,57.3459000,57.8349000,152517
USDRUB,D,28/12/17,000000,57.8365000,57.8564000,57.3377000,57.4572000,143902
USDRUB,D,29/12/17,000000,57.4811000,57.9216000,57.4182000,57.7421000,131663
USDRUB,D,30/12/17,000000,57.7307000,57.8256000,57.4963000,57.6591000,163
USDRUB,D,31/12/17,000000,57.6048000,57.6770000,57.6048000,57.6470000,36
USDRUB,D,01/01/18,000000,57.6470000,57.9720000,57.6330000,57.7687000,490
USDRUB,D,02/01/18,000000,57.7687000,58.0016000,57.1750000,57.4143000,90256
USDRUB,D,03/01/18,000000,57.4148000,57.6343000,57.0619000,57.1928000,106610
USDRUB,D,04/01/18,000000,57.2163000,57.2837000,56.7347000,56.9313000,116615
USDRUB,D,05/01/18,000000,56.9313000,57.1312000,56.8400000,56.9288000,107617
USDRUB,D,06/01/18,000000,56.9329000,57.0100000,56.4567000,56.9627000,207
USDRUB,D,07/01/18,000000,56.9570000,56.9820000,56.9000000,56.9683000,52
USDRUB,D,08/01/18,000000,56.9683000,57.1597000,56.8000000,57.1040000,52540
USDRUB,D,09/01/18,000000,57.1093000,57.1812000,56.7631000,56.9403000,163734
USDRUB,D,10/01/18,000000,56.9463000,57.0999000,56.7137000,57.0018000,183127
USDRUB,D,11/01/18,000000,56.9999000,57.0748000,56.3710000,56.4340000,187275
USDRUB,D,12/01/18,000000,56.4411000,56.7490000,56.3670000,56.6353000,200934
USDRUB,D,13/01/18,000000,56.6303000,56.6945000,56.5470000,56.6117000,1313
USDRUB,D,14/01/18,000000,56.6560000,56.6560000,56.4720000,56.5994000,49
USDRUB,D,15/01/18,000000,56.6560000,56.7045000,56.2013000,56.3619000,172880
USDRUB,D,16/01/18,000000,56.3672000,56.5654000,56.2361000,56.5560000,194242
USDRUB,D,17/01/18,000000,56.5598000,56.9609000,56.2998000,56.7844000,239655
USDRUB,D,18/01/18,000000,56.7845000,56.9084000,56.3549000,56.5220000,208771
USDRUB,D,19/01/18,000000,56.5249000,56.7281000,56.4020000,56.7130000,154170
USDRUB,D,20/01/18,000000,56.7173000,56.7746000,56.2541000,56.6926000,820
USDRUB,D,21/01/18,000000,56.6990000,56.6990000,56.6170000,56.6571000,54
USDRUB,D,22/01/18,000000,56.6571000,56.7478000,56.4051000,56.4746000,130255
USDRUB,D,23/01/18,000000,56.4835000,56.5905000,56.2747000,56.3858000,189200
USDRUB,D,24/01/18,000000,56.4022000,56.4713000,56.1071000,56.1478000,180639
USDRUB,D,25/01/18,000000,56.1641000,56.2700000,55.5305000,55.8690000,259471
USDRUB,D,26/01/18,000000,55.8617000,56.2688000,55.6776000,56.2245000,225830
USDRUB,D,27/01/18,000000,56.2396000,56.2536000,56.1975000,56.2312000,750
USDRUB,D,28/01/18,000000,56.2360000,56.2360000,56.1068000,56.1717000,49
USDRUB,D,29/01/18,000000,56.1717000,56.5224000,56.1030000,56.3307000,166649
USDRUB,D,30/01/18,000000,56.3377000,56.4399000,55.8245000,56.3889000,250212
USDRUB,D,31/01/18,000000,56.3951000,56.4947000,56.0166000,56.2024000,239141
USDRUB,D,01/02/18,000000,56.2094000,56.4289000,55.8399000,55.9028000,251528
USDRUB,D,02/02/18,000000,55.9028000,56.5576000,55.8625000,56.5396000,308785
USDRUB,D,03/02/18,000000,56.5370000,56.5606000,56.2832000,56.5089000,3803
USDRUB,D,04/02/18,000000,56.5420000,56.5420000,56.1880000,56.1881000,71
USDRUB,D,05/02/18,000000,56.1850000,57.3150000,56.1457000,57.2871000,346210
USDRUB,D,06/02/18,000000,57.2949000,57.6697000,56.7895000,56.8300000,441958
USDRUB,D,07/02/18,000000,56.8582000,57.7820000,56.7175000,57.7690000,358509
USDRUB,D,08/02/18,000000,57.7795000,58.4629000,57.4621000,58.4326000,448619
USDRUB,D,09/02/18,000000,58.4371000,58.7698000,57.8584000,58.3512000,440892
USDRUB,D,10/02/18,000000,58.3567000,58.3858000,58.2316000,58.3858000,1138
USDRUB,D,11/02/18,000000,58.3500000,58.3500000,58.3500000,58.3500000,44
